[2024-02-22 23:30:23,934: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 23:30:23,935: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 23:30:23,935: INFO: common: created directory at: artifacts]
[2024-02-22 23:30:23,935: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-22 23:30:24,889: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-22 23:30:25,037: INFO: main: >>>>>> stage Prepare Base Model stage completed <<<<<<]
[2024-02-22 23:30:25,037: INFO: main: >>>>>> stage Training stage started <<<<<<]
[2024-02-22 23:30:25,038: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 23:30:25,038: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 23:30:25,039: INFO: common: created directory at: artifacts]
[2024-02-22 23:30:25,039: INFO: common: created directory at: artifacts/training]
[2024-02-22 23:30:30,303: INFO: main: >>>>>> stage Training stage completed <<<<<<]
[2024-02-22 23:30:30,303: INFO: main: >>>>>> stage Evaluation stage started <<<<<<]
[2024-02-22 23:30:30,304: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 23:30:30,305: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 23:30:30,305: INFO: common: created directory at: artifacts]
[2024-02-22 23:30:34,254: INFO: builder_impl: Assets written to: /tmp/tmpkvmyx_p3/model/data/model/assets]
